country_or_region,country_code,date,variable,generation_twh,share_of_generation_pct,emissions_mtco2,continent,ember_region,eu_flag,g20_flag,g7_flag,oecd_flag,region_demand_rank,oecd_demand_rank,eu_demand_rank,global_fuel_rank,latest_year,coal_deadline,clean_deadline
Argentina,ARG,2018-10-01,Hydro,3.59,34.65,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-10-01,Nuclear,0.4,3.86,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-10-01,Other Fossil,0.11,1.06,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-10-01,Solar,0.01,0.1,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-10-01,Wind,0.19,1.83,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-10-01,Wind and solar,0.2,1.93,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-11-01,Bioenergy,0.04,0.39,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-11-01,Clean,4.69,45.18,0.11,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-11-01,Coal,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-11-01,Fossil,5.69,54.82,3.39,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-11-01,Gas,5.58,53.76,3.31,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-11-01,Hydro,4.03,38.82,0.1,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-11-01,Nuclear,0.38,3.66,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-11-01,Other Fossil,0.11,1.06,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-11-01,Solar,0.02,0.19,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-11-01,Wind,0.22,2.12,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-11-01,Wind and solar,0.24,2.31,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-12-01,Bioenergy,0.03,0.27,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2018-12-01,Clean,4.47,40.35,0.1,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-12-01,Coal,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2018-12-01,Fossil,6.61,59.65,3.94,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2018-12-01,Gas,6.44,58.12,3.82,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2018-12-01,Hydro,3.93,35.47,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2018-12-01,Nuclear,0.21,1.9,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2018-12-01,Other Fossil,0.17,1.53,0.12,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
